woord afkap
oordeelswerk oor-deels-werk
oordek oor-dek
oorgegewe oor-ge-ge-we
oorgelewer oor-ge-le-wer
oorlog oor-log
oorsprong oor-sprong
oortreders oor-tre-ders
oorvloedig oor-vloe-dig
oorvloei oor-vloei
oorwin oor-win
oorwinnaar oor-win-naar
oorwinnaars oor-win-naars
oorwinnaarshulde oor-win-naars-hul-de
oorwinning oor-win-ning
oorwinningsfees oor-win-nings-fees
oorwonne oor-won-ne
oos oos
ootmoedig oot-moe-dig
op op
op- op-
opbloei op-bloei
opdrag op-drag
open o-pen
openbaar o-pen-baar
opgebeur op-ge-beur
opgeblase⁀of op-ge-bla-se⁀of
opgegaan op-ge-gaan
opgerig op-ge-rig
opgerys op-ge-rys
opgespruit op-ge-spruit
opgestaan op-ge-staan
opgestyg op-ge-styg
opgesweepte op-ge-sweep-te
opgeswewe op-ge-swe-we
opgevaar op-ge-vaar
opgewek op-ge-wek
ophef op-hef
opnuut op-nuut
opreg op-reg
oprys op-rys
opskrik op-skrik
opspoor op-spoor
opstaan op-staan
opstanding op-stan-ding
opstyg op-styg
oraloor o-ral-oor
ordekring or-de-kring
ordening or-de-ning
ore o-re
ore⁀ook o-re⁀ook
oud oud
ouderlinge ou-der-lin-ge
oudstes oud-stes
ouers ou-ers
owerhede o-wer-he-de
paaie paai-e
pad pad
paradys pa-ra-dys
parskuip pars-kuip
pasgebore pas-ge-bo-re
peinsend pein-send
perd perd
pêrelpoorte pê-rel-poor-te
pilatus pi-la-tus
pla pla
plaag plaag
planne plan-ne
plant plant
pleit pleit
plek plek
pletter plet-ter
plig plig
pontius pon-ti-us
poort poort
poorte poor-te
potskerf pot-skerf
prag prag
pragpaleis prag-pa-leis
pralers pra-lers
priesterdom pries-ter-dom
priesters pries-ters
priesterspruit pries-ter-spruit
priestervolk pries-ter-volk
profeet pro-feet
profesie pro-fe-sie
profete pro-fe-te
profeteer pro-fe-teer
profeteer” pro-fe-teer”
profetestem pro-fe-te-stem
prys prys
prysend pry-send
prysgegee prys-ge-gee
purper pur-per
pyle py-le
pyn pyn
pyniging py-ni-ging
raad raad
raadsman raads-man
raas raas
raserny ra-ser-ny
rats rats
red red
redder red-der
reddingsboodskap red-dings-bood-skap
reddingsdade red-dings-da-de
reddingsdag red-dings-dag
reddingseer red-ding-seer
reddingsmag red-dings-mag
reeds reeds
reënstrale re-ën-stra-le
reg reg
regeer re-geer
regsgeding regs-ge-ding
regte reg-te
regter reg-ter
regterhand reg-ter-hand
regterstoel reg-ter-stoel
regverdig reg-ver-dig
regverdigheid reg-ver-dig-heid
rein rein
reine rei-ne
reine⁀en rei-ne⁀en
reinheid rein-heid
reinheidsgeur rein-heids-geur
ribbok rib-bok
rig rig
ring ring
riviere ri-vie-re
roem roem
roemtaal roem-taal
roep roep
roepstem roep-stem
roer roer
rondom rond-om
roof roof
rook rook
rookkolom rook-ko-lom
rou rou
ruis ruis
ruisend rui-send
ruisend-ver rui-send-ver
ruiter rui-ter
ruiters rui-ters
rukwind ruk-wind
rus rus
rusdag rus-dag
rusplek rus-plek
rustig rus-tig
ruwe ru-we
ryk ryk
rykdom ryk-dom
ryke ry-ke
rykes ry-kes
ryksgesalfde ryks-ge-salf-de
rykstroon ryks-troon
ryp ryp
rys rys
saai saai
saak saak
saalge saal-ge
saam saam
saamgevloei saam-ge-vloei
sabbat sab-bat
sag sag
sagdeurglansde sag-deur-glans-de
saggies sag-gies
sagmoedig sag-moe-dig
sagte sag-te
sal sal
sál sál
salig sa-lig
saligheid sa-lig-heid
saligmaker sa-lig-ma-ker
salomo sa-lo-mo
sand sand
sange san-ge
sangerskring san-gers-kring
sangerstem san-ger-stem
sanggeluid sang-ge-luid
sangstem sang-stem
satan sa-tan
satans sa-tans
satansdieptes sa-tans-diep-tes
satansinagoge sa-tan-si-na-go-ge
se se
sê sê
se⁀apostelskaar se⁀a-pos-tel-skaar
seba se-ba
see see
seë se-ë
seekus see-kus
seen seen
seën se-ën
seëninge se-ë-nin-ge
seëninge” se-ë-nin-ge”
seënstroom se-ën-stroom
seëprale se-ë-pra-le
seestroom see-stroom
self self
sélf sélf
selfbelang self-be-lang
selfbesinning self-be-sin-ning
selfveroordeeld self-ver-oor-deeld
send send
ses ses
setel se-tel
seun seun
seuns seuns
sewe se-we
sfeer sfeer
sidder sid-der
sidderbewe sid-der-be-we
siel siel
siele sie-le
sielenood sie-le-nood
sielsverdriet siels-ver-driet
sielsversoeking siels-ver-soe-king
sien sien
sién sién
sienerherder sie-ner-her-der
simbaal sim-baal
sinagoge si-na-go-ge
sing sing
sink sink
sinnediens sin-ne-diens
sion si-on
sit sit
siters si-ters
skaap skaap
skaar skaar
skadu ska-du
skadutyd ska-du-tyd
skaf skaf
skape ska-pe
skare ska-re
skat skat
skatte skat-te
skeer skeer
skei skei
skeiding skei-ding
skeld skeld
skelfseestrand skelf-see-strand
skenk skenk
skepper skep-per
skepperheer skep-per-heer
skepping skep-ping
skeppings-here Skep-pings-He-re
skeppingsdag skep-pings-dag
skeppingsmiddelaar skep-pings-mid-de-laar
skepsel skep-sel
skepsels skep-sels
skerp skerp
skielik skie-lik
skiet skiet
skik skik
skild skild
skitt'rend skit-t'rend
skitter skit-ter
skitterblink skit-ter-blink
skitterwit skit-ter-wit
skoeisel skoei-sel
skoene skoe-ne
skone⁀oorwinnaarsloon sko-ne⁀oor-win-naars-loon
skoner sko-ner
skoon skoon
skoonheid skoon-heid
skoonheidspraal skoon-heids-praal
skoons skoons
skoonste skoon-ste
skoot skoot
skouer skou-er
skrifture skrif-tu-re
skrifvervullend skrif-ver-vul-lend
skrik skrik
skrikbewoë skrik-be-wo-ë
skrikgeluid skrik-ge-luid
skryf skryf
skrywe skry-we
sku sku
skuld skuld
skulde skul-de
skuldig skul-dig
skuldstraf skuld-straf
skuldvergewing skuld-ver-ge-wing
skuldvergiffenis skuld-ver-gif-fe-nis
skurwe skur-we
skut skut
skyn skyn
slaaf slaaf
slaafse slaaf-se
slaan slaan
slaap slaap
slag slag
slagdier slag-dier
slagswaard slag-swaard
slagting slag-ting
slang slang
slapers sla-pers
slawe sla-we
slawerny sla-wer-ny
slegte sleg-te
sleutel sleu-tel
sluimer slui-mer
sluimerdood slui-mer-dood
sluip sluip
sluit sluit
sluwe slu-we
smaad smaad
smaadheid smaad-heid
smaak smaak
smag smag
smagtend smag-tend
smart smart
smarte smar-te
smarteman smar-te-man
smartplaag smart-plaag
smeek smeek
smôrens smô-rens
snel snel
so so
só só
so⁀'n so⁀'n
sodat so-dat
soek soek
soet soet
soete soe-te
solank so-lank
som som
somber som-ber
somerland so-mer-land
son son
sondaars son-daars
sonde son-de
sonde-slawerny son-de-sla-wer-ny
sonde⁀'n son-de⁀'n
sonde⁀is son-de⁀is
sondedood son-de-dood
sondelas son-de-las
sondelose son-de-lo-se
sondemag son-de-mag
sonder son-der
sondes son-des
sondeskuld son-de-skuld
sondig son-dig
sondigheid son-dig-heid
sonlig son-lig
sonstraal son-straal
soon soon
soos soos
sorg sorg
sorge sor-ge
sou sou
soveel so-veel
span span
spanning span-ning
spat spat
speel speel
speur speur
spin spin
spons spons
spoor spoor
spraak spraak
spreek spreek
sprei sprei
sprei” sprei”
springfontein spring-fon-tein
sprinkel sprin-kel
spruit spruit
spruitjie spruit-jie
spys spys
spyt spyt
staan staan
staande staan-de
staar staar
staat staat
stad stad
stam stam
stamname⁀uit stam-na-me⁀uit
stand stand
standvastig stand-vas-tig
steeds steeds
steel steel
steen steen
steiltes steil-tes
stel stel
stem stem
stemme stem-me
stemmeloos stem-me-loos
stemmesee stem-me-see
stengel sten-gel
ster ster
sterf sterf
sterk sterk
sterk-smagtend sterk-smag-tend
sterke ster-ke
sterke⁀is ster-ke⁀is
sterkte sterk-te
sterkte⁀aan sterk-te⁀aan
sterkte⁀en sterk-te⁀en
sterkte⁀in sterk-te⁀in
sterkte⁀omgord sterk-te⁀om-gord
sterre ster-re
sterre⁀omvat ster-re⁀om-vat
sterwe ster-we
sterwend ster-wend
steun steun
steunsel steun-sel
stewig ste-wig
stig stig
stil stil
stille⁀aanbidding stil-le⁀aan-bid-ding
stille⁀eerbiedenis stil-le⁀eer-bie-de-nis
stilte stil-te
stof stof
stom stom
stond stond
stoppel stop-pel
stoppels stop-pels
storm storm
stormagtig storm-ag-tig
stormgedruis storm-ge-druis
stormpad storm-pad
stormwind storm-wind
stort stort
stort” stort”
straal straal
straalgewade straal-ge-wa-de
straat straat
straf straf
strafgerig straf-ge-rig
stralebaan stra-le-baan
stralend stra-lend
strandelose⁀en stran-de-lo-se⁀en
strate stra-te
strawwe straw-we
streef streef
streek streek
strek strek
streng streng
strenge stren-ge
strenger stren-ger
strewe stre-we
strikke strik-ke
stroom stroom
struikel strui-kel
stry stry
stryd stryd
strydwa stryd-wa
stryk stryk
stuit stuit
stuur stuur
sug sug
sugstem sug-stem
suid suid
suide⁀en sui-de⁀en
suil suil
suiwer sui-wer
swaar swaar
swaard swaard
swaarder swaar-der
swaarste swaar-ste
swak swak
swakke swak-ke
sware swa-re
sweef sweef
swerfpad swerf-pad
swerk swerk
swig swig
swig” swig”
swoeg swoeg
sy sy
sý sý
taak taak
taal taal
taan taan
tabernakel ta-ber-na-kel
tal tal
tale ta-le
talle tal-le
te te
te⁀aanbid te⁀aan-bid
te⁀ontvang te⁀ont-vang
teen teen
teenoor teen-oor
teëspoede te-ë-spoe-de
teëweer te-ë-weer
tegemoet te-ge-moet
teken te-ken
tekens te-kens
tekort te-kort
tempel tem-pel
ten ten
tent tent
tentseil tent-seil
ter ter
terras ter-ras
terwyl ter-wyl
tesame te-sa-me
tevore te-vo-re
tiranne ti-ran-ne
toe toe
toeberei toe-be-rei
toebereide toe-be-rei-de
toegebind toe-ge-bind
toegebring toe-ge-bring
toegedek toe-ge-dek
toegeseg toe-ge-seg
toegewy toe-ge-wy
toekoms toe-koms
toestand toe-stand
tog tog
tonge ton-ge
toon toon
toorn toorn
tot tot
tót tót
totdat tot-dat
trane tra-ne
transe tran-se
trap trap
tree tree
tref tref
trek trek
treur treur
triomfe tri-om-fe
triomfeer tri-om-feer
troebel troe-bel
trone tro-ne
troon troon
troos troos
troosteloos troos-te-loos
trooster troos-ter
trots trots
trotse trot-se
trou trou
troue trou-e
tugtig tug-tig
tussen tus-sen
twaalf twaalf
twaalftal twaalf-tal
twee twee
twis twis
tyd tyd
tyding ty-ding
tydsomstandighede tyds-om-stan-dig-he-de
tye ty-e
u u
ú ú
uit uit
uitgebreek uit-ge-breek
uitgegaan uit-ge-gaan
uitgeroep uit-ge-roep
uitgestort uit-ge-stort
uitgetrek uit-ge-trek
uitgiet uit-giet
uitkoms uit-koms
uitlei uit-lei
uitsiend uit-siend
uitverkoornes uit-ver-koor-nes
uitverkore uit-ver-ko-re
ure u-re
uur uur
vaar vaar
vader va-der
vader⁀te va-der⁀te
vaderhuis va-der-huis
vaderland va-der-land
vaderlike va-der-li-ke
vaders va-ders
val val
vals vals
valse val-se
van van
vandaan van-daan
vandaar van-daar
vandag van-dag
vang vang
vangnet vang-net
vanwaar van-waar
vas vas
vasgedruk vas-ge-druk
vasstaan vas-staan
vaste vas-te
veeg veeg
veel veel
veil'ge vei-l'ge
veilig vei-lig
veld veld
velde vel-de
veldslag veld-slag
ver ver
vér vér
verag ver-ag
verander ver-an-der
verberg ver-berg
verbind ver-bind
verbintenis ver-bin-te-nis
verbitterd ver-bit-terd
verblind ver-blind
verbly ver-bly
verblyd ver-blyd
verbond ver-bond
verborge ver-bor-ge
verborge⁀en ver-bor-ge⁀en
verborgenhede ver-bor-gen-he-de
verborgenheid ver-bor-gen-heid
verbrand ver-brand
verbreek ver-breek
verbrei ver-brei
verbrysel ver-bry-sel
verbryselde ver-bry-sel-de
verby ver-by
verdeelde ver-deel-de
verder ver-der
verderf ver-derf
verderf'nis ver-der-f'nis
verderwers ver-der-wers
verdoem ver-doem
verdonkerd ver-don-kerd
verdor ver-dor
verdra ver-dra
verdraagsaam ver-draag-saam
verdruk ver-druk
verdrukking ver-druk-king
verdwaald ver-dwaald
verdwyn ver-dwyn
verdwyning ver-dwy-ning
vereensaamd ver-een-saamd
vereer ver-eer
vereffen ver-ef-fen
vergaan ver-gaan
vergader ver-ga-der
verganklikheid ver-gank-lik-heid
vergeef ver-geef
vergeefse ver-geef-se
vergeld ver-geld
vergelding ver-gel-ding
vergesigte ver-ge-sig-te
vergewe ver-ge-we
vergewing ver-ge-wing
verhaal ver-haal
verheerlik ver-heer-lik
verhef ver-hef
verheug ver-heug
verhewe ver-he-we
verhewig ver-he-wig
verhoog ver-hoog
verhoor ver-hoor
verkeer ver-keer
verklaag ver-klaag
verkondig ver-kon-dig
verkore ver-ko-re
verkry ver-kry
verkwik ver-kwik
verlaat ver-laat
verlang ver-lang
verlange ver-lan-ge
verlangend ver-lan-gend
verlate ver-la-te
verlede ver-le-de
verleë⁀en ver-le-ë⁀en
verleen ver-leen
verlei ver-lei
verlies ver-lies
verlig ver-lig
verligting ver-lig-ting
verloën ver-lo-ën
verlore ver-lo-re
verlore⁀is ver-lo-re⁀is
verlos ver-los
verlosser ver-los-ser
verlossing ver-los-sing
verlossingsbloed ver-los-sings-bloed
verlossingsdag ver-los-sings-dag
verloste ver-los-te
vermag ver-mag
vermeerder ver-meer-der
vermenigvuldig ver-me-nig-vul-dig
vermoei ver-moei
vermoeid ver-moeid
verordeninge ver-or-de-nin-ge
verordineer ver-or-di-neer
verpand ver-pand
verras ver-ras
verre ver-re
verreining ver-rei-ning
verrig ver-rig
verryk ver-ryk
verrys ver-rys
versadig ver-sa-dig
versading ver-sa-ding
versamel ver-sa-mel
verseël ver-se-ël
versit ver-sit
verskerp ver-skerp
verskrik ver-skrik
verskroei ver-skroei
verskrompeld ver-skrom-peld
verskuldig ver-skul-dig
verskyn ver-skyn
verskyning ver-sky-ning
versoeking ver-soe-king
versoen ver-soen
versoening ver-soe-ning
verstaan ver-staan
verstand ver-stand
versteen ver-steen
versterk ver-sterk
verstom ver-stom
vert' vert'
vertel ver-tel
vertes ver-tes
vertroos ver-troos
vertroosting ver-troos-ting
vertroue ver-trou-e
vervloeking ver-vloe-king
vervolg ver-volg
vervolgingsnag ver-vol-gings-nag
vervreem ver-vreem
vervul ver-vul
vervulling ver-vul-ling
verwag ver-wag
verwelk ver-welk
verwerf ver-werf
verwerp ver-werp
verwoeste ver-woes-te
verwonderd ver-won-derd
verwyder ver-wy-der
verwyt ver-wyt
vier vier
vier-en-twintigtal vier-en-twin-tig-tal
vierde vier-de
viertal vier-tal
vind vind
vir vir
vír vír
vlakte vlak-te
vlam vlam
vlammegraf vlam-me-graf
vlammelig vlam-me-lig
vlammespel vlam-me-spel
vlees vlees
vlees” vlees”
vlekloos vlek-loos
vloed vloed
vloei vloei
vlug vlug
vlyt vlyt
voed voed
voeg voeg
voëls vo-ëls
voer voer
voerkrip voer-krip
voet voet
voetstap voet-stap
vol vol
vól vól
volbrag vol-brag
volbring vol-bring
volg volg
volhard vol-hard
volheid vol-heid
volheidskringe vol-heids-krin-ge
volheidslewe vol-heids-le-we
volk volk
volke vol-ke
volke⁀'n vol-ke⁀'n
volke⁀en vol-ke⁀en
volle vol-le
volmaakte vol-maak-te
vonkel von-kel
vonnis von-nis
vonnisspreker von-nis-spre-ker
voor voor
voorbeeld voor-beeld
voorberei voor-be-rei
voordat voor-dat
voordeel voor-deel
voorhoof voor-hoof
voorspoedig voor-spoe-dig
voorspoediglik voor-spoe-dig-lik
voort voort
voortgebring voort-ge-bring
voortkom voort-kom
vooruit voor-uit
voorwaar voor-waar
vors vors
vou vou
vra vra
vrede vre-de
vrede⁀in vre-de⁀in
vrede⁀op vre-de⁀op
vredemakers vre-de-ma-kers
vredespalmtak vre-des-palm-tak
vredesparadys vre-des-pa-ra-dys
vredevors vre-de-vors
vree-verbond vree-ver-bond
vreemde vreem-de
vrees vrees
vreug vreug
vreugde vreug-de
vreugde-psalm vreug-de-psalm
vreugdebode vreug-de-bo-de
vriend'lik vrien-d'lik
vriendelik vrien-de-lik
vriendskap vriend-skap
vrolik vro-lik
vrug vrug
vrugb're vrug-b're
vrugte vrug-te
vrugteboorde vrug-te-boor-de
vry vry
vry-uit vry-uit
vrye vry-e
vrygemaak vry-ge-maak
vryheid vry-heid
vrymoedig vry-moe-dig
vuis vuis
vul vul
vure vu-re
vurig vu-rig
vuur vuur
vuurvlam vuur-vlam
vyand vy-and
vyande vy-an-de
vyandsmag vy-ands-mag
vyeboom vy-e-boom
waai waai
waak waak
waaksaam waak-saam
waar waar
waaragtig waar-ag-tig
waarborg waar-borg
waarde waar-de
waarde⁀en waar-de⁀en
waardeur waar-deur
waardig waar-dig
waarheid waar-heid
waarheidsklank waar-heids-klank
waarin waar-in
waarlik waar-lik
waarmee waar-mee
waarom waar-om
waaroor waar-oor
waarop waar-op
waaruit waar-uit
waarvandaan waar-van-daan
waarvoor waar-voor
waas waas
wag wag
wagtend wag-tend
wakker wak-ker
wal wal
walging wal-ging
wandel wan-del
wank'le wan-k'le
wanneer wan-neer
want want
wapen wa-pen
wapenrusting wa-pen-rus-ting
ware wa-re
was was
wat wat
water wa-ter
waterbane wa-ter-ba-ne
waterdood wa-ter-dood
waterkolk wa-ter-kolk
watermuur wa-ter-muur
waters wa-ters
watervloed wa-ter-vloed
waterwalle wa-ter-wal-le
wee wee
weë we-ë
weedom wee-dom
weef weef
weer weer
weerhou weer-hou
weerklink weer-klink
weerkom weer-kom
weeropstanding weer-op-stan-ding
weerskant weers-kant
weerstaan weer-staan
weerstand weer-stand
weerstrewe weer-stre-we
wees wees
weet weet
weg weg
weggedord weg-ge-dord
weggekwyn weg-ge-kwyn
weggestoot weg-ge-stoot
weggestuur weg-ge-stuur
weggetrek weg-ge-trek
weggevaar weg-ge-vaar
weggevlug weg-ge-vlug
wegkwyn weg-kwyn
wegwelk weg-welk
wek wek
welbehae wel-be-ha-e
weldra wel-dra
welig we-lig
wemel we-mel
wend wend
wentel wen-tel
werd werd
wêreld wê-reld
wêreldheerser wê-reld-heer-ser
wêreldlande wê-reld-lan-de
wêreldnagte wê-reld-nag-te
wêreldoorde wê-reld-oor-de
wêreldskat wê-reld-skat
wêreldtroon wê-reld-troon
wêreldwee wê-reld-wee
wêreldwyd wê-reld-wyd
wêreldwye wê-reld-wy-e
wêreldwyse wê-reld-wy-se
wering we-ring
werk werk
werke wer-ke
werke⁀al wer-ke⁀al
werke⁀en wer-ke⁀en
werp werp
wes wes
wese we-se
wesens we-sens
wesens-een we-sens-een
wet wet
wette wet-te
wetverlaters wet-ver-la-ters
wie wie
wil wil
wildernis wil-der-nis
wille wil-le
willig wil-lig
wilsgreep wils-greep
wind wind
wingerd win-gerd
wink wink
wins wins
winterstormwind win-ter-storm-wind
wis wis
wisse wis-se
wit wit
woed woed
woede⁀en woe-de⁀en
woedend woe-dend
woestheid woest-heid
wolk wolk
wolke wol-ke
wolke⁀en wol-ke⁀en
wond wond
wonde won-de
wonderbaar won-der-baar
wonderbare won-der-ba-re
wonderboek won-der-boek
wonderdade won-der-da-de
wonderkind won-der-kind
wondernag won-der-nag
wonders won-ders
wonderuur won-der-uur
wonderwoord won-der-woord
woning wo-ning
woon woon
woord woord
woorddiens woord-diens
woorde woor-de
woordswaard woord-swaard
word word
wou wou
wreedste wreed-ste
wreek wreek
wreker wre-ker
wy wy
wyd wyd
wydtes wyd-tes
wyer wy-er
wyk wyk
wys wys
wysheid wys-heid
wysheidsbron wys-heids-bron
ydel y-del
ydelheid y-del-heid
yslik ys-lik
ysterstaf ys-ter-staf
yw'rig y-w'rig
ywer y-wer
